"Job Title","Salary","Location","Job Posted","Job Description"
"IT Support Engineer","£Negotiable","Hamilton","3 hours ago","IT Support Engineer Why Settle are recruiting for an IT Support Engineer within our busy IT Support Team. The position will be based at our modern offices in Hamilton. Established in 1996, Why Settle support, manage and..."
"Customer Success Co-ordinator","£22,000-£26,000","Glasgow","3 hours ago","Customer Success Coordinator Glasgow City Centre Salary £22000-£26000 DOE This is a brilliant opportunity for a customer focused specialist to join a growing technology organisation..."
"Quality Manager (Fabrication)","£Neg","North Ayrshire","3 hours ago","We have a fantastic opportunity for an experienced Quality Manager to join our client in their busy and well established engineering fabrication business. Working within a sheet-metal fabrication environment, you will be..."
"Fabrication Supervisor","£Neg","North Ayrshire","3 hours ago","On behalf of our client, a busy and well established engineering fabrication business, we are recruiting for an experienced Fabrication Supervisor. The role will be offered on a permanent contract to the successful candidate..."
"Airframe Sheet Metal Worker","£18 per hour (LTD)","South Ayrshire","3 hours ago","We are looking for an time served Airframe Sheet Metal Worker to join our client for an ongoing contract. Long Contract You will be required to carry out flush repairs to slat leading edge skins..."
"Counterbalance Forklift Driver (Dayshift)","£8.95 per hour","North Ayrshire","3 hours ago","We are looking for an experienced counterbalance forklift driver to work nightshift with our client in North Ayrshire. The hours would be 6am to 5pm Mon to Friday. Hourly rate would be £8..."
"Aircraft Composite Fitter","£18 per hour (LTD)","South Ayrshire","3 hours ago","We are recruiting for a time served, Aircraft Composite Fitter on behalf of our client in Ayrshire. This will be an ongoing, long term contract. Successful candidates must have a background in Aviation Composites and experience..."
"Warehouse Packer (Temp)","£8.21 per hour","Kilmarnock","3 hours ago","We have various temporary packing shifts available near Kilmarnock. Shifts will be offered on an as and when required basis. Please only apply if you are able to accept one off shifts and understand that at times these shifts..."
"Purchase Ledger Assistant","Up to £20,000 DOE","Glasgow","3 hours ago","Purchase Ledger Assistant - Permanent - Glasgow - Up to £20,000 DOE Pertemps specialist division is working with a leading retailer to add an experienced Purchase Ledger Assistant to their Finance department based in..."
"Inside Sales Specialist","£18,000 - £22,000","Glasgow","3 hours ago","Due to business growth my Glasgow City centre based client is recruiting now for an experienced Inside Sales Specialist to join their sales team. You could be joining a leading Cyber Security organisation who not only offer..."
"Senior Office Administrator / Accounts Clerk","£25,000+ (depending on experience)","Irvine","3 hours ago","On behalf of our Kilmarnock based client, we are recruiting for a Senior Office Administrator / Accounts Clerk. The role will be offered with full time hours likely to be 9am - 4.30pm, Monday - Friday..."
"CNC Programmer / Setter","£14.63 - £15.70 per hour (£28,531 - £30,614 per annum)","East Ayrshire","3 hours ago","We are searching for a time served CNC Programmer / Setter to join our client in East Ayrshire. The successful applicant will be required to provide programming and setting support in a production environment and assist the..."
"Project Manager Lead","To define","Glasgow","3 hours ago","Company description: Morgan Philips Group is an innovative recruitment business with a footprint across 4 continents. In just 5 years, we have built a global platform that disrupts conventional thinking in executive and..."
"Customer Accounts Administrator","£10.00 per hour","Edinburgh","3 hours ago","Customer Account Administrator £10 per hour Edinburgh City Centre Immediate start Front line customer support role for leading Edinburgh City Centre software organisation, this is initially a temporary contract joining my..."
"Direct Claims Specialist","£21696","Glasgow","3 hours ago","Direct Claims Specialist Salary £21,696 Exciting opportunity in Glasgow now to join a leading UK insurer ! · Do you have previous experience in insurance sales or do you have excellent negotiation skills ? In this..."
"Business Development Lead","£30000 - £35000 per annum + car allowance + performance bonus","Aberdeen","3 hours ago","We are currently looking for a Business Development lead to join our growing Sales team in Aberdeen. The main focus of the role will be to target new business, build relationships and ultimately bring on new Business in the..."
"10 x van drivers required","","Bellshill","4 hours ago","well knows retailer in Bellshill require 10 van drivers to start asap Rates of pay Monday to Friday £9.50 Saturday and Sunday £10.50 Hours of work 4 on 2 off The Role Home deliveries to customers Some..."
"Senior Customer Advisor","£9.63 - £10.12 per annum","Glasgow","4 hours ago","Senior Customer Advisor £9.63 - £10.12 an hour **Must be available for an immediate interview*** Location: Glasgow City Centre Do you enjoy solving problems? Are you a very customer focussed person? Have..."
"Accounts Assistant","£22,000-£26,000","Stirling","4 hours ago","iMultiply are delighted to be engaged on the role of an Accounts Assistant with a well-established construction business based in Stirling. The role is paying a salary ranging from £22,000 - £26,000 per annum with..."
"Aircraft Tinsmith-Welder","Up to £18 per hour + plus £2 bonus","Prestwick","4 hours ago","FPS Aviation are looking for a workshop Tinsmith - Welder This is a long term contract position starting ASAP Duties include Previous experience of sheet metal working within the aircraft industry is preferred Fabricate..."
"Welders","","Ayr","4 hours ago","MIG Welders We have an excellent opportunity with our manufacturing client within the Ayrshire area for MIG Welders. Applicants do not need to be time-served Welders or hold any current codings but must have..."
"Occupational Disease & Casualty Solicitor","£DOE","Glasgow","4 hours ago","Solicitor - Occupational Disease and Casualty You are litigation solicitor who is looking to be part of one of the best teams in Scotland. You enjoy helping clients who haven't had the best of times but who now..."
"Commercial Litigation Solicitor","£Negotiable","Glasgow","4 hours ago","Commercial Litigation Solicitor You are an experienced Litigator who enjoys dealing with a variety of work and you will always be looking for the best outcome for your client. You can handle your own caseload and enjoy..."
"Team Member - Night Reception","£Competitive","Edinburgh","4 hours ago","We are looking for a Nights Team Member to join our Premier Inn team! Night Team Member - Premier Inn At Premier Inn, every guest wants a great night's sleep - As a Night team member with us, you'll need to..."
"Assistant Management Accountant","£26,000 - £30,000 DOE","Glasgow","4 hours ago","Iconic Resourcing has been engaged by a growing utilities organisation in Glasgow who are market leaders in energy solutions. We are recruiting for a full time, permanent Assistant Management Accountant to join their expanding..."
